,FVG,Top,Bottom,MitigatedIndex,Respected,StatusIndex
825,-1.0,340.53,339.44,860.0,False,860
826,-1.0,339.20999,338.82932,859.0,False,860
827,-1.0,338.25,336.8082,832.0,False,859
828,-1.0,336.39001,336.17999,832.0,False,832
829,,,,,,0
830,,,,,,0
831,,,,,,0
832,,,,,,0
833,,,,,,0
834,,,,,,0
835,,,,,,0
836,,,,,,0
837,,,,,,0
838,,,,,,0
839,,,,,,0
840,,,,,,0
841,1.0,334.31,333.94,844.0,False,845
842,,,,,,0
843,,,,,,0
844,,,,,,0
845,,,,,,0
846,,,,,,0
847,,,,,,0
848,,,,,,0
849,,,,,,0
850,,,,,,0
851,,,,,,0
852,,,,,,0
853,,,,,,0
854,,,,,,0
855,,,,,,0
856,1.0,336.73999,336.61139,858.0,True,858
857,,,,,,0
858,,,,,,0
859,1.0,347.57001,337.51001,863.0,True,863
860,1.0,352.90179,338.89001,862.0,True,862
861,,,,,,0
862,-1.0,352.90179,349.69,874.0,False,887
863,-1.0,349.049988,348.57999,865.0,False,868
864,,,,,,0
865,,,,,,0
866,,,,,,0
867,1.0,347.92999,347.26001,869.0,False,869
868,,,,,,0
869,-1.0,347.92999,347.62991,871.0,False,872
870,,,,,,0
871,,,,,,0
872,,,,,,0
873,1.0,348.54999,348.53,881.0,False,891
874,1.0,350.29999,349.069885,876.0,False,881
875,,,,,,0
876,,,,,,0
877,,,,,,0
878,,,,,,0
879,,,,,,0
880,-1.0,350.91,350.068207,885.0,False,886
881,,,,,,0
882,,,,,,0
883,,,,,,0
884,,,,,,0
885,1.0,351.89999,349.19,887.0,False,891
886,,,,,,0
887,,,,,,0
888,,,,,,0
889,,,,,,0
890,,,,,,0
891,-1.0,350.54999,349.60001,894.0,False,942
892,,,,,,0
893,,,,,,0
894,,,,,,0
895,,,,,,0
896,,,,,,0
897,,,,,,0
898,,,,,,0
899,-1.0,346.51001,346.17001,901.0,False,901
900,,,,,,0
901,1.0,346.44,346.17001,903.0,False,903
902,,,,,,0
903,-1.0,346.44,346.36319,905.0,False,905
904,,,,,,0
905,,,,,,0
906,,,,,,0
907,,,,,,0
908,,,,,,0
909,,,,,,0
910,,,,,,0
911,,,,,,0
912,1.0,347.70999,346.95001,914.0,False,915
913,,,,,,0
914,,,,,,0
915,,,,,,0
916,,,,,,0
917,,,,,,0
918,1.0,346.29999,346.16,920.0,True,920
919,,,,,,0
920,,,,,,0
921,1.0,347.60001,347.15369,923.0,False,925
922,,,,,,0
923,,,,,,0
924,,,,,,0
925,,,,,,0
926,,,,,,0
927,,,,,,0
928,,,,,,0
929,,,,,,0
930,,,,,,0
931,,,,,,0
932,,,,,,0
933,,,,,,0
934,,,,,,0
935,,,,,,0
936,,,,,,0
937,,,,,,0
938,,,,,,0
939,,,,,,0
940,,,,,,0
941,,,,,,0
942,1.0,351.45001,350.57001,959.0,False,960
943,1.0,354.050201,351.98999,945.0,False,959
944,,,,,,0
945,,,,,,0
946,,,,,,0
947,,,,,,0
948,,,,,,0
949,,,,,,0
950,,,,,,0
951,,,,,,0
952,,,,,,0
953,,,,,,0
954,,,,,,0
955,,,,,,0
956,-1.0,354.33459,354.26999,958.0,False,966
957,,,,,,0
958,-1.0,353.20999,352.95999,966.0,False,966
959,-1.0,352.5701,351.57001,965.0,False,966
960,-1.0,351.0,348.5499,962.0,False,965
961,,,,,,0
962,,,,,,0
963,,,,,,0
964,,,,,,0
965,,,,,,0
966,1.0,353.66,352.22,0.0,,0
967,1.0,357.019989,355.64999,0.0,,0
968,,,,,,0
969,,,,,,0
970,1.0,361.47,360.54999,972.0,False,975
971,,,,,,0
972,,,,,,0
973,,,,,,0
974,,,,,,0
975,-1.0,361.51999,361.099915,977.0,False,977
976,,,,,,0
977,1.0,361.66,361.099915,0.0,,0
978,1.0,362.67999,361.8382,0.0,,0
979,1.0,363.66,363.23999,0.0,,0
980,1.0,365.45999,364.32001,983.0,True,983
981,,,,,,0
982,,,,,,0
983,,,,,,0
984,,,,,,0
985,,,,,,0
986,,,,,,0
987,,,,,,0
988,,,,,,0
989,1.0,371.75,367.35999,0.0,,0
990,1.0,377.67999,368.98999,0.0,,0
991,1.0,383.89999,379.54999,0.0,,0
992,,,,,,0
993,,,,,,0
994,,,,,,0
995,,,,,,0
996,,,,,,0
997,,,,,,0
998,,,,,,0
999,,,,,,0
1000,,,,,,0
1001,,,,,,0
1002,1.0,393.12009,392.32999,1004.0,True,1004
1003,,,,,,0
1004,,,,,,0
1005,,,,,,0
1006,,,,,,0
1007,,,,,,0
1008,,,,,,0
1009,,,,,,0
1010,,,,,,0
1011,,,,,,0
1012,,,,,,0
1013,,,,,,0
1014,,,,,,0
1015,1.0,416.13,393.95999,1017.0,True,1017
1016,,,,,,0
1017,,,,,,0
1018,,,,,,0
1019,,,,,,0
1020,,,,,,0
1021,1.0,418.85999,418.82999,1026.0,False,1027
1022,,,,,,0
1023,,,,,,0
1024,,,,,,0
1025,,,,,,0
1026,,,,,,0
1027,,,,,,0
1028,,,,,,0
1029,,,,,,0
1030,,,,,,0
1031,,,,,,0
1032,,,,,,0
1033,-1.0,416.5101,416.48001,1042.0,False,1046
1034,-1.0,416.22,411.85001,1042.0,False,1046
1035,-1.0,410.37009,407.79999,1038.0,False,1042
1036,,,,,,0
1037,,,,,,0
1038,,,,,,0
1039,,,,,,0
1040,,,,,,0
1041,1.0,411.42999,409.59991,1068.0,True,1068
1042,,,,,,0
1043,,,,,,0
1044,,,,,,0
1045,,,,,,0
1046,1.0,417.75,417.42001,1048.0,False,1068
1047,,,,,,0
1048,,,,,,0
1049,,,,,,0
1050,,,,,,0
1051,,,,,,0
1052,,,,,,0
1053,,,,,,0
1054,,,,,,0
1055,,,,,,0
1056,,,,,,0
1057,,,,,,0
1058,,,,,,0
1059,,,,,,0
1060,,,,,,0
1061,,,,,,0
1062,,,,,,0
1063,1.0,419.45001,419.29001,1068.0,False,1068
1064,,,,,,0
1065,,,,,,0
1066,,,,,,0
1067,-1.0,420.5,417.20001,1074.0,False,1085
1068,-1.0,420.89999,416.29999,1070.0,False,1090
1069,,,,,,0
1070,,,,,,0
1071,,,,,,0
1072,,,,,,0
1073,,,,,,0
1074,1.0,416.84,415.0737,1076.0,False,1086
1075,,,,,,0
1076,,,,,,0
1077,,,,,,0
1078,,,,,,0
1079,,,,,,0
1080,,,,,,0
1081,,,,,,0
1082,,,,,,0
1083,,,,,,0
1084,,,,,,0
1085,,,,,,0
